column_name,data_type,table
TaskRouteModifierCode,string,dbo_cv3ordertaskoccurrence
TaskFormCode,string,dbo_cv3ordertaskoccurrence
BodySite,string,dbo_cv3ordertaskoccurrence
Diluent,string,dbo_cv3ordertaskoccurrence
AmountWasted,string,dbo_cv3ordertaskoccurrence
TaskDuration,int,dbo_cv3ordertaskoccurrence
CoSignProviderGUID,"decimal(16,0)",dbo_cv3ordertaskoccurrence
CDSOccurrenceType,int,dbo_cv3ordertaskoccurrence
IsAutoCompleted,int,dbo_cv3ordertaskoccurrence
IncludedForStopDateCalc,int,dbo_cv3ordertaskoccurrence
MSrepl_tran_version,string,dbo_cv3ordertaskoccurrence
TaskOrderSummaryLine,string,dbo_cv3ordertaskoccurrence
OrderedDoseOverride,int,dbo_cv3ordertaskoccurrence
GenerateGroupID,int,dbo_cv3ordertaskoccurrence
HasGeneratedFollowupTask,boolean,dbo_cv3ordertaskoccurrence
TaskPumpVolume,string,dbo_cv3ordertaskoccurrence
TaskPumpVolumeUOM,string,dbo_cv3ordertaskoccurrence
TaskPumpDoseRate,string,dbo_cv3ordertaskoccurrence
TaskPumpDoseRateUOM,string,dbo_cv3ordertaskoccurrence
TaskPumpDurationMinutes,int,dbo_cv3ordertaskoccurrence
TaskPumpDrugID,string,dbo_cv3ordertaskoccurrence
TaskPumpChannelID,string,dbo_cv3ordertaskoccurrence
IsPumpProgrammingSkipped,boolean,dbo_cv3ordertaskoccurrence
SkipPumpProgrammingReason,string,dbo_cv3ordertaskoccurrence
TaskPumpDrugAmount,string,dbo_cv3ordertaskoccurrence
TaskPumpDrugAmountUOM,string,dbo_cv3ordertaskoccurrence
PatientItemScanStatusType,int,dbo_cv3ordertaskoccurrence
PatientItemScanSkippedReason,string,dbo_cv3ordertaskoccurrence
PatientIDBarcode,string,dbo_cv3ordertaskoccurrence
TaskItemBarcode,string,dbo_cv3ordertaskoccurrence
MSReplrowguid,string,dbo_cv3ordertaskoccurrence
TaskPumpVolumeToBeInfused,string,dbo_cv3ordertaskoccurrence
TaskPumpDuration,string,dbo_cv3ordertaskoccurrence
TaskPumpDurationUOM,string,dbo_cv3ordertaskoccurrence
TaskPumpFlowRate,string,dbo_cv3ordertaskoccurrence
TaskPumpFlowRateUOM,string,dbo_cv3ordertaskoccurrence
TaskPumpVolumeToBeInfusedUOM,string,dbo_cv3ordertaskoccurrence
IsTaskPumpBagChange,boolean,dbo_cv3ordertaskoccurrence
IsTaskPumpRateChange,boolean,dbo_cv3ordertaskoccurrence
SiteID,int,dbo_cv3service
RepFlags,int,dbo_cv3service
Build,int,dbo_cv3service
TouchedBy,string,dbo_cv3service
TouchedWhen,timestamp,dbo_cv3service
CreatedBy,string,dbo_cv3service
CreatedWhen,timestamp,dbo_cv3service
Active,boolean,dbo_cv3service
GUID,"decimal(16,0)",dbo_cv3service
GroupCode,string,dbo_cv3service
SubGroupCode,string,dbo_cv3service
Description,string,dbo_cv3service
MSrepl_tran_version,string,dbo_cv3service
MSReplrowguid,string,dbo_cv3service
SiteID,int,dbo_cv3servicegroup
RepFlags,int,dbo_cv3servicegroup
Build,int,dbo_cv3servicegroup
TouchedBy,string,dbo_cv3servicegroup
TouchedWhen,timestamp,dbo_cv3servicegroup
CreatedBy,string,dbo_cv3servicegroup
CreatedWhen,timestamp,dbo_cv3servicegroup
Active,boolean,dbo_cv3servicegroup
GUID,"decimal(16,0)",dbo_cv3servicegroup
Code,string,dbo_cv3servicegroup
Description,string,dbo_cv3servicegroup
MSrepl_tran_version,string,dbo_cv3servicegroup
MSReplrowguid,string,dbo_cv3servicegroup
SiteID,int,dbo_sxacdclientdocdetailtextcur
Build,int,dbo_sxacdclientdocdetailtextcur
TouchedBy,string,dbo_sxacdclientdocdetailtextcur
TouchedWhen,timestamp,dbo_sxacdclientdocdetailtextcur
CreatedBy,string,dbo_sxacdclientdocdetailtextcur
CreatedWhen,timestamp,dbo_sxacdclientdocdetailtextcur
ClientDocDetailGUID,"decimal(16,0)",dbo_sxacdclientdocdetailtextcur
DetailText,binary,dbo_sxacdclientdocdetailtextcur
MSrepl_tran_version,string,dbo_sxacdclientdocdetailtextcur
ArcType,int,dbo_sxacdclientdocdetailtextcur
MSReplrowguid,string,dbo_sxacdclientdocdetailtextcur
SiteID,int,dbo_sxammgenericitem
Build,int,dbo_sxammgenericitem
TouchedBy,string,dbo_sxammgenericitem
TouchedWhen,timestamp,dbo_sxammgenericitem
CreatedBy,string,dbo_sxammgenericitem
CreatedWhen,timestamp,dbo_sxammgenericitem
Active,boolean,dbo_sxammgenericitem
GenericItemID,int,dbo_sxammgenericitem
DrugID,int,dbo_sxammgenericitem
GenericItemName,string,dbo_sxammgenericitem
StrengthDesc,string,dbo_sxammgenericitem
MedicationFormCode,string,dbo_sxammgenericitem
IsRestrictedRoute,boolean,dbo_sxammgenericitem
IsKBAScanRequired,boolean,dbo_sxammgenericitem
VerifyRouteOnAdmin,boolean,dbo_sxammgenericitem
MSrepl_tran_version,string,dbo_sxammgenericitem
IsCombination,boolean,dbo_sxammgenericitem
CombinationType,int,dbo_sxammgenericitem
TherapeuticClassID,int,dbo_sxammgenericitem
IsSolution,boolean,dbo_sxammgenericitem
IsAdditive,boolean,dbo_sxammgenericitem
OrderUOMCode,string,dbo_sxammgenericitem
ScreeningUOMCode,string,dbo_sxammgenericitem
AdminUOMCode,string,dbo_sxammgenericitem
CompoundSubClassID,int,dbo_sxammgenericitem
CompoundCalcType,int,dbo_sxammgenericitem
PreparationInstructionNote,string,dbo_sxammgenericitem
SpecialInstructionNote,string,dbo_sxammgenericitem
IsInvestigational,boolean,dbo_sxammgenericitem
PreferredSolutionGenericItemID,int,dbo_sxammgenericitem
AutoSubGenericItemID,int,dbo_sxammgenericitem
LegalStatusType,int,dbo_sxammgenericitem
IsRestricted,boolean,dbo_sxammgenericitem
AutoSubstitutionEffectiveDtm,timestamp,dbo_sxammgenericitem
AutoSubstitutionPolicyDesc,string,dbo_sxammgenericitem
AutoSubstitutionAutoAlert,boolean,dbo_sxammgenericitem
IsNarcotic,boolean,dbo_sxammgenericitem
IsControlled,boolean,dbo_sxammgenericitem
DispenseSubTypeID,int,dbo_sxammgenericitem
ReportField1,string,dbo_sxammgenericitem
ReportField2,string,dbo_sxammgenericitem
ReportField3,string,dbo_sxammgenericitem
DrugCatalogKey,string,dbo_sxammgenericitem
UpdateFromCatalog,boolean,dbo_sxammgenericitem
BillingUOMCode,string,dbo_sxammgenericitem
SoftStopPeriod,"decimal(5,0)",dbo_sxammgenericitem
SoftStopPeriodUOMCode,string,dbo_sxammgenericitem
DispensingContainerID,int,dbo_sxammgenericitem
ADMUOMCode,string,dbo_sxammgenericitem
AutoSubstitutionMnemonicID,int,dbo_sxammgenericitem
DefaultMnemonicID,int,dbo_sxammgenericitem
IsRegular,boolean,dbo_sxammgenericitem
IsLVP,boolean,dbo_sxammgenericitem
IsIVPB,boolean,dbo_sxammgenericitem
IsNonFormulary,boolean,dbo_sxammgenericitem
IsNonFormularyBillable,boolean,dbo_sxammgenericitem
CanPrintCompoundLabel,boolean,dbo_sxammgenericitem
MSReplrowguid,string,dbo_sxammgenericitem
RxNormCode,string,dbo_sxammgenericitem
SiteID,int,dbo_sxammordertaskoccurrenceadmin
Build,int,dbo_sxammordertaskoccurrenceadmin
TouchedBy,string,dbo_sxammordertaskoccurrenceadmin
TouchedWhen,timestamp,dbo_sxammordertaskoccurrenceadmin
CreatedBy,string,dbo_sxammordertaskoccurrenceadmin
CreatedWhen,timestamp,dbo_sxammordertaskoccurrenceadmin
Active,boolean,dbo_sxammordertaskoccurrenceadmin
OrderTaskOccurrenceAdminID,bigint,dbo_sxammordertaskoccurrenceadmin
ScanResultPatientID,bigint,dbo_sxammordertaskoccurrenceadmin
OrderTaskOccurrenceGUID,"decimal(16,0)",dbo_sxammordertaskoccurrenceadmin
ProductID,int,dbo_sxammordertaskoccurrenceadmin
OrderID,bigint,dbo_sxammordertaskoccurrenceadmin
IsManuallyMatched,boolean,dbo_sxammordertaskoccurrenceadmin
AdminQty,"decimal(14,4)",dbo_sxammordertaskoccurrenceadmin
AdministeredQtyUOMCode,string,dbo_sxammordertaskoccurrenceadmin
AdminDtm,timestamp,dbo_sxammordertaskoccurrenceadmin
AdminByGUID,"decimal(16,0)",dbo_sxammordertaskoccurrenceadmin
IsAdminRouteVerified,boolean,dbo_sxammordertaskoccurrenceadmin
MSrepl_tran_version,string,dbo_sxammordertaskoccurrenceadmin
StockItemProductID,int,dbo_sxammordertaskoccurrenceadmin
IsMarkedNotDone,boolean,dbo_sxammordertaskoccurrenceadmin
MSReplrowguid,string,dbo_sxammordertaskoccurrenceadmin
LogSessionGUID,string,dbo_sxammordertaskoccurrenceadmin
SiteID,int,dbo_sxammproduct
Build,int,dbo_sxammproduct
TouchedBy,string,dbo_sxammproduct
TouchedWhen,timestamp,dbo_sxammproduct
CreatedBy,string,dbo_sxammproduct
CreatedWhen,timestamp,dbo_sxammproduct
Active,boolean,dbo_sxammproduct
ProductID,int,dbo_sxammproduct
GenericItemID,int,dbo_sxammproduct
BrandName,string,dbo_sxammproduct
PhysicalDesc,string,dbo_sxammproduct
PhysicalPicture,binary,dbo_sxammproduct
ManufacturerID,int,dbo_sxammproduct
DINCode,string,dbo_sxammproduct
MSrepl_tran_version,string,dbo_sxammproduct
OrangeBookCodeType,int,dbo_sxammproduct
AlternateBillingCode,string,dbo_sxammproduct
ReportField1,string,dbo_sxammproduct
ReportField2,string,dbo_sxammproduct
ReportField3,string,dbo_sxammproduct
DrugCatalogKey,string,dbo_sxammproduct
UpdateFromCatalog,boolean,dbo_sxammproduct
MSReplrowguid,string,dbo_sxammproduct
SiteID,int,dbo_sxammproductpackage
Build,int,dbo_sxammproductpackage
TouchedBy,string,dbo_sxammproductpackage
TouchedWhen,timestamp,dbo_sxammproductpackage
CreatedBy,string,dbo_sxammproductpackage
CreatedWhen,timestamp,dbo_sxammproductpackage
Active,boolean,dbo_sxammproductpackage
ProductPackageID,int,dbo_sxammproductpackage
ProductID,int,dbo_sxammproductpackage
NDCCode,string,dbo_sxammproductpackage
InnerPackageSizeNum,"decimal(15,3)",dbo_sxammproductpackage
InnerPackageUOMCode,string,dbo_sxammproductpackage
OuterPackageSizeNum,"decimal(15,3)",dbo_sxammproductpackage
IsRepackaged,boolean,dbo_sxammproductpackage
IsUnitDose,boolean,dbo_sxammproductpackage
DrugCatalogKey,string,dbo_sxammproductpackage
UpdateFromCatalog,boolean,dbo_sxammproductpackage
MSrepl_tran_version,string,dbo_sxammproductpackage
MSReplrowguid,string,dbo_sxammproductpackage
IsCMSBilling,boolean,dbo_sxammproductpackage
NDCCF,"decimal(18,8)",dbo_sxammproductpackage
NDCUOM,string,dbo_sxammproductpackage
HCPCSUOM,string,dbo_sxammproductpackage
CMSUOM,string,dbo_sxammproductpackage
NDCQty,"decimal(18,8)",dbo_sxammproductpackage
HCPCSQty,"decimal(18,8)",dbo_sxammproductpackage
